text,size
spoke,5
sport,5
starters,5
stat,5
stevens,5
strength,5
stretches,5
striking,5
string,5
suffered,5
suspended,5
syracuse,5
thomas,5
thousands,5
thumb,5
tide,5
tomorrow,5
torontos,5
traffic,5
trailed,5
triple,5
trips,5
tuesdays,5
united,5
update,5
upon,5
usa,5
villanovas,5
vogel,5
voice,5
vote,5
wagner,5
wall,5
war,5
werent,5
works,5
writer,5
writers,5
yes,5
ab,4
abduljabbar,4
absolutely,4
achievement,4
achievements,4
acknowledged,4
acquiring,4
acting,4
add,4
additional,4
adidas,4
agency,4
aggressiveness,4
alabamas,4
andrew,4
announcement,4
anyway,4
apparently,4
appearances,4
appearing,4
apps,4
araton,4
argue,4
associate,4
athlete,4
athleticism,4
attention,4
backcourt,4
backlash,4
barron,4
base,4
basically,4
baskets,4
bazleys,4
becoming,4
begins,4
believed,4
billy,4
blatt,4
blocking,4
blown,4
boards,4
booker,4
bostons,4
bracket,4
brett,4
broadcast,4
brothers,4
bruised,4
brushed,4
bucks,4
careers,4
casket,4
cause,4
champs,4
chances,4
chants,4
charges,4
charles,4
cj,4
clinched,4
combination,4
comments,4
compete,4
completing,4
comtagsnbabasketball,4
concern,4
condition,4
context,4
contributor,4
cool,4
copyright,4
countered,4
cousins,4
created,4
dais,4
daniel,4
darlings,4
date,4
daytoday,4
deadline,4
december,4
declared,4
defended,4
demar,4
demarcus,4
departure,4
described,4
desperate,4
died,4
dirk,4
disrupted,4
disrupting,4
disruption,4
distant,4
dominating,4
dorsey,4
doubt,4
draw,4
drummond,4
due,4
dynamic,4
earning,4
ejected,4
eliminated,4
endless,4
engel,4
enormous,4
entrances,4
entry,4
episode,4
erik,4
erving,4
escape,4
eulogy,4
evolution,4
exact,4
except,4
excited,4
exercise,4
extraordinary,4
extremely,4
eyes,4
factor,4
faith,4
fashion,4
fate,4
feet,4
fewer,4
fewest,4
fieldgoal,4
figuring,4
fits,4
fivestar,4
flash,4
florida,4
food,4
fours,4
fractured,4
freak,4
frustrating,4
frustration,4
gap,4
generals,4
google,4
grabbing,4
graham,4
grandparents,4
greens,4
ground,4
growing,4
heads,4
heavily,4
hire,4
hoffmanjune,4
hole,4
hometown,4
hoping,4
identified,4
iguodalas,4
ii,4
illinois,4
illness,4
implications,4
indianapolis,4
individual,4
information,4
insisted,4
instagram,4
interim,4
investigating,4
invitation,4
isaac,4
jason,4
jim,4
jimmy,4
jonah,4
jonathan,4
journey,4
kareem,4
kemba,4
kenny,4
kingsindiana,4
knock,4
knowledge,4
ku,4
lack,4
lake,4
larger,4
largest,4
laughed,4
launching,4
leader,4
learn,4
legs,4
length,4
light,4
literally,4
lone,4
luck,4
machine,4
main,4
majority,4
malone,4
marc,4
markelle,4
marriage,4
mcdonalds,4
member,4
mentally,4
mich,4
midway,4
minor,4
mistake,4
mobile,4
moe,4
momentum,4
mood,4
moses,4
nature,4
nfl,4
nick,4
nickname,4
nobody,4
noise,4
normal,4
notable,4
note,4
notion,4
nov,4
occasion,4
october,4
odds,4
offer,4
officer,4
oklahomas,4
omari,4
onegame,4
opposing,4
outplayed,4
ovation,4
overcome,4
owners,4
ownership,4
pack,4
pains,4
parity,4
partly,4
partnering,4
paying,4
perspective,4
piece,4
plan,4
planned,4
playoffbound,4
plusminus,4
poised,4
political,4
pop,4
positioned,4
possessions,4
praise,4
prediction,4
protocol,4
pulling,4
pushing,4
q,4
quarters,4
quiet,4
quit,4
raising,4
ray,4
read,4
reasons,4
recordsetting,4
recruit,4
reggie,4
remainder,4
remarkable,4
rematch,4
reminded,4
removed,4
required,4
resources,4
rhythm,4
rival,4
robertson,4
robinson,4
running,4
ruth,4
saban,4
safe,4
screen,4
sec,4
selected,4
senior,4
serve,4
sets,4
shape,4
sight,4
signs,4
site,4
size,4
skipped,4
small,4
smiths,4
somebody,4
somehow,4
somewhere,4
sore,4
sort,4
sought,4
sp,4
speed,4
spellman,4
spotlight,4
st,4
stake,4
stats,4
stays,4
steady,4
storm,4
stotts,4
strategy,4
stress,4
stressed,4
struggling,4
stunned,4
stunning,4
successful,4
suddenly,4
sundays,4
super,4
supposed,4
symbol,4
symptoms,4
table,4
taketwo,4
tenacious,4
tension,4
terry,4
texas,4
threegame,4
threepoint,4
threetime,4
threeyear,4
tipped,4
tobias,4
toca,4
toll,4
tony,4
trae,4
trailing,4
training,4
transparency,4
trophy,4
truly,4
ucla,4
unicorn,4
uniforms,4
unlikely,4
user,4
vegas,4
virginia,4
wait,4
walk,4
walked,4
wave,4
wide,4
willingness,4
wnba,4
woke,4
wolverines,4
wonder,4
workouts,4
worlds,4
worried,4
worth,4
wound,4
yahoo,4
youll,4
youth,4
accident,3
accomplished,3
accomplishments,3
activists,3
actual,3
afford,3
africanamericans,3
agreed,3
aiming,3
airball,3
alleyoop,3
alltime,3
allworld,3
alongside,3
anticipated,3
antonios,3
anymore,3
apnews,3
apparel,3
approached,3
architect,3
argument,3
arms,3
asking,3
assemblage,3
atop,3
attack,3
attacking,3
attempting,3
attended,3
austin,3
autopsy,3
awards,3
awareness,3
balls,3
ban,3
barely,3
based,3
battle,3
beaten,3
beautiful,3
bembry,3
benefit,3
besides,3
blame,3
blanton,3
blowing,3
blowout,3
bogdanovic,3
bol,3
bold,3
brandon,3
breakout,3
bucket,3
budenholzer,3
bunch,3
burden,3
camden,3
cameron,3
candidate,3
cap,3
capable,3
capping,3
carmelo,3
carry,3
category,3
caught,3
causes,3
